Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2023);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
79;144840;"PLoS Medicine";journal;"15491277, 15491676";4,198;Q1;275;168;883;8110;9109;869;9,19;48,27;47,25;13;128;United States;Northern America;"Public Library of Science";"2004-2023";"Biochemistry (Q1); Biotechnology (Q1); Cell Biology (Q1); Medicine (miscellaneous) (Q1); Molecular Biology (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
80;18457;"Cell Death and Differentiation";journal;"13509047, 14765403";4,102;Q1;257;189;663;13764;7849;623;12,61;72,83;40,35;0;104;United Kingdom;Western Europe;"Nature Publishing Group";"1994-2023";"Cell Biology (Q1); Molecular Biology (Q1)";"Biochemistry, Genetics and Molecular Biology"
81;14816;"Trends in Biochemical Sciences";journal;"13624326, 09680004";4,074;Q1;301;120;328;7244;2792;318;8,38;60,37;34,32;0;16;United Kingdom;Western Europe;"Elsevier Ltd";"1976-2023";"Biochemistry (Q1); Molecular Biology (Q1)";"Biochemistry, Genetics and Molecular Biology"
82;12216;"Molecular Biology and Evolution";journal;"15371719, 07374038";4,061;Q1;245;280;1048;22808;10469;1025;10,73;81,46;38,15;2;52;United Kingdom;Western Europe;"Oxford University Press";"1983-2023";"Ecology, Evolution, Behavior and Systematics (Q1); Genetics (Q1); Molecular Biology (Q1)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
83;3900148405;"Autophagy";journal;"15548627";4,035;Q1;189;341;828;14774;8931;695;10,86;43,33;44,70;0;110;United States;Northern America;"Landes Bioscience";"2005-2023";"Cell Biology (Q1); Molecular Biology (Q1)";"Biochemistry, Genetics and Molecular Biology"
84;21101169024;"Aggregate";journal;"27668541, 26924560";3,994;Q1;33;156;153;12086;2370;143;14,28;77,47;37,29;0;38;United States;Northern America;"John Wiley and Sons Inc.";"2020-2023";"Chemistry (miscellaneous) (Q1); Materials Chemistry (Q1); Materials Science (miscellaneous) (Q1); Molecular Biology (Q1)";"Biochemistry, Genetics and Molecular Biology; Chemistry; Materials Science"
85;19600166310;"EMBO Molecular Medicine";journal;"17574676, 17574684";3,964;Q1;142;165;440;9076;3842;381;8,20;55,01;45,15;1;79;United Kingdom;Western Europe;"Springer";"2009-2023";"Molecular Medicine (Q1)";"Biochemistry, Genetics and Molecular Biology"
86;21100242814;"eLife";journal;"2050084X";3,932;Q1;206;1655;6193;114687;41633;6031;6,16;69,30;39,97;0;389;United Kingdom;Western Europe;"eLife Sciences Publications";"2012-2023";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Medicine (miscellaneous) (Q1); Neuroscience (miscellaneous) (Q1)";"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Medicine; Neuroscience"
87;21100470165;"Advanced Science";journal;"21983844";3,914;Q1;187;1975;3160;140487;48286;3151;14,60;71,13;35,98;0;790;Germany;Western Europe;"Wiley-VCH Verlag";"2014-2023";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Chemical Engineering (miscellaneous) (Q1); Engineering (miscellaneous) (Q1); Materials Science (miscellaneous) (Q1); Medicine (miscellaneous) (Q1); Physics and Astronomy (miscellaneous) (Q1)";"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Engineering; Materials Science; Medicine; Physics and Astronomy"
88;17382;"Molecular Psychiatry";journal;"14765578, 13594184";3,895;Q1;250;552;1431;45931;14069;1303;9,21;83,21;44,14;5;89;United Kingdom;Western Europe;"Springer Nature";"1996-2023";"Cellular and Molecular Neuroscience (Q1); Molecular Biology (Q1); Psychiatry and Mental Health (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine; Neuroscience"
89;12977;"PLoS Biology";journal;"15449173, 15457885";3,822;Q1;305;471;1083;28978;8954;1064;6,34;61,52;40,54;4;87;United States;Northern America;"Public Library of Science";"2003-2023";"Agricultural and Biological Sciences (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Neuroscience (miscellaneous) (Q1)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Neuroscience"
90;21100368204;"Cancer Immunology Research";journal;"23266066, 23266074";3,781;Q1;134;138;425;5941;3342;406;6,37;43,05;41,46;0;103;United States;Northern America;"American Association for Cancer Research Inc.";"2013-2023";"Cancer Research (Q1); Immunology (Q1)";"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology"
91;21100981157;"Annual Review of Cancer Biology";book series;"24723428";3,766;Q1;36;18;61;2133;423;61;5,00;118,50;38,18;0;18;United States;Northern America;"Annual Reviews Inc.";"2017-2020, 2022-2023";"Cancer Research (Q1); Cell Biology (Q1); Oncology (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
92;12455;"Molecular Therapy";journal;"15250024, 15250016";3,736;Q1;209;288;830;15752;7824;717;9,43;54,69;42,79;0;116;United States;Northern America;"Cell Press";"2000-2023";"Drug Discovery (Q1); Genetics (Q1); Medicine (miscellaneous) (Q1); Molecular Biology (Q1); Molecular Medicine (Q1); Pharmacology (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine; Pharmacology, Toxicology and Pharmaceutics"
93;21100466864;"Journal for ImmunoTherapy of Cancer";journal;"20511426";3,728;Q1;117;445;1590;19408;14743;1571;8,71;43,61;42,99;0;391;United Kingdom;Western Europe;"BMJ Publishing Group";"2013-2023";"Cancer Research (Q1); Immunology (Q1); Immunology and Allergy (Q1); Molecular Medicine (Q1); Oncology (Q1); Pharmacology (Q1)";"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Medicine; Pharmacology, Toxicology and Pharmaceutics"
94;18555;"Journal of Cell Biology";journal;"15408140, 00219525";3,717;Q1;414;265;833;15215;5160;794;5,99;57,42;42,38;0;35;United States;Northern America;"Rockefeller University Press";"1961-2023";"Cell Biology (Q1); Medicine (miscellaneous) (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
95;21101163245;"Nature Cardiovascular Research";journal;"27310590";3,710;Q1;15;194;182;5652;691;75;3,80;29,13;39,76;1;42;Germany;Western Europe;"Springer";"2022-2023";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Cardiology and Cardiovascular Medicine (Q1); Cell Biology (Q1); Medicine (miscellaneous) (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
96;19049;"Trends in Genetics";journal;"01689525, 13624555";3,690;Q1;245;104;383;7419;2890;373;7,75;71,34;35,91;0;28;United Kingdom;Western Europe;"Elsevier Ltd";"1985-2023";"Genetics (Q1)";"Biochemistry, Genetics and Molecular Biology"
97;17476;"Experimental and Molecular Medicine";journal;"12263613, 20926413";3,671;Q1;115;217;535;16561;6549;524;9,18;76,32;39,80;0;94;South Korea;Asiatic Region;"Korean Society of Med. Biochemistry and Mol. Biology";"1996-2023";"Biochemistry (Q1); Clinical Biochemistry (Q1); Medicine (miscellaneous) (Q1); Molecular Biology (Q1); Molecular Medicine (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
98;26015;"Leukemia";journal;"08876924, 14765551";3,662;Q1;219;333;1125;11784;8477;975;7,59;35,39;43,05;3;225;United Kingdom;Western Europe;"Nature Publishing Group";"1987-2023";"Anesthesiology and Pain Medicine (Q1); Cancer Research (Q1); Hematology (Q1); Oncology (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
99;26463;"Progress in Lipid Research";journal;"18732194, 01637827";3,638;Q1;168;31;91;7594;1397;91;14,82;244,97;31,03;0;13;United Kingdom;Western Europe;"Elsevier Ltd";"1978-2023";"Biochemistry (Q1); Cell Biology (Q1)";"Biochemistry, Genetics and Molecular Biology"
100;16594;"Plant Cell";journal;"1532298X, 10404651";3,616;Q1;397;305;950;18558;7236;767;7,19;60,85;38,33;0;21;United States;Northern America;"American Society of Plant Biologists";"1989-2023";"Cell Biology (Q1); Plant Science (Q1)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
101;18503;"Current Opinion in Cell Biology";journal;"09550674, 18790410";3,559;Q1;278;87;296;5702;1978;282;5,99;65,54;49,51;0;13;United Kingdom;Western Europe;"Elsevier Ltd";"1989-2023";"Cell Biology (Q1)";"Biochemistry, Genetics and Molecular Biology"
102;4700152457;"Nano Today";journal;"1878044X, 17480132";3,483;Q1;175;275;635;24164;9420;605;13,75;87,87;39,78;2;137;Netherlands;Western Europe;"Elsevier B.V.";"1970, 2006-2023";"Bioengineering (Q1); Biomedical Engineering (Q1); Biotechnology (Q1); Materials Science (miscellaneous) (Q1); Medicine (miscellaneous) (Q1); Nanoscience and Nanotechnology (Q1); Pharmaceutical Science (Q1)";"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Engineering; Materials Science; Medicine; Pharmacology, Toxicology and Pharmaceutics"
103;21100200203;"Wiley Interdisciplinary Reviews: Computational Molecular Science";journal;"17590876, 17590884";3,473;Q1;105;48;162;8571;2884;160;19,44;178,56;29,81;0;8;United States;Northern America;"John Wiley & Sons Inc.";"2011-2023";"Biochemistry (Q1); Computational Mathematics (Q1); Computer Science Applications (Q1); Materials Chemistry (Q1); Physical and Theoretical Chemistry (Q1)";"Biochemistry, Genetics and Molecular Biology; Chemistry; Computer Science; Materials Science; Mathematics"
104;29183;"Cancer Research";journal;"00085472, 15387445";3,468;Q1;498;331;1449;13630;12019;1431;8,08;41,18;42,61;0;306;United States;Northern America;"American Association for Cancer Research Inc.";"1941-2023";"Cancer Research (Q1); Oncology (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
105;21100854881;"Bioactive Materials";journal;"2452199X";3,466;Q1;90;432;867;38448;16381;863;18,50;89,00;38,34;0;102;Netherlands;Western Europe;"KeAi Communications Co.";"2016-2024";"Biomaterials (Q1); Biomedical Engineering (Q1); Biotechnology (Q1)";"Biochemistry, Genetics and Molecular Biology; Engineering; Materials Science"
106;21100398001;"Bone Research";journal;"20954700, 20956231";3,378;Q1;65;63;151;7185;1971;149;14,22;114,05;39,50;0;15;United Kingdom;Western Europe;"Nature Publishing Group";"2013-2023";"Endocrinology, Diabetes and Metabolism (Q1); Histology (Q1); Physiology (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
107;89440;"Genomics, Proteomics and Bioinformatics";journal;"16720229, 22103244";3,378;Q1;73;81;239;5773;2211;232;9,47;71,27;39,97;0;28;China;Asiatic Region;"Beijing Genomics Institute";"2003-2023";"Biochemistry (Q1); Computational Mathematics (Q1); Genetics (Q1); Medicine (miscellaneous) (Q1); Molecular Biology (Q1)";"Biochemistry, Genetics and Molecular Biology; Mathematics; Medicine"
108;28475;"Ageing Research Reviews";journal;"15681637, 18729649";3,376;Q1;162;271;557;43544;7632;555;13,35;160,68;43,85;0;61;Ireland;Western Europe;"Elsevier Ireland Ltd";"2002-2023";"Aging (Q1); Biochemistry (Q1); Biotechnology (Q1); Molecular Biology (Q1); Neurology (Q1)";"Biochemistry, Genetics and Molecular Biology; Neuroscience"
109;21101040628;"Evolution Letters";journal;"20563744";3,373;Q1;33;18;135;1227;574;19;3,51;68,17;42,31;0;4;United Kingdom;Western Europe;"Oxford University Press";"2017-2023";"Ecology, Evolution, Behavior and Systematics (Q1); Genetics (Q1)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
110;3200147828;"Small";journal;"16136829, 16136810";3,348;Q1;294;3459;4300;231291;57031;4280;13,08;66,87;34,99;1;1409;Germany;Western Europe;"Wiley-VCH Verlag";"2005-2023";"Biomaterials (Q1); Biotechnology (Q1); Chemistry (miscellaneous) (Q1); Engineering (miscellaneous) (Q1); Materials Science (miscellaneous) (Q1); Medicine (miscellaneous) (Q1); Nanoscience and Nanotechnology (Q1)";"Biochemistry, Genetics and Molecular Biology; Chemistry; Engineering; Materials Science; Medicine"
111;24046;"Seminars in Cancer Biology";journal;"10963650, 1044579X";3,297;Q1;179;96;745;17871;9343;714;11,64;186,16;39,08;0;87;United States;Northern America;"Academic Press";"1990-2023";"Cancer Research (Q1)";"Biochemistry, Genetics and Molecular Biology"
112;28707;"Angiogenesis";journal;"15737209, 09696970";3,289;Q1;101;41;153;2275;1284;128;8,13;55,49;39,81;1;16;Netherlands;Western Europe;"Springer Netherlands";"1997-1999, 2001-2023";"Cancer Research (Q1); Clinical Biochemistry (Q1); Physiology (Q1)";"Biochemistry, Genetics and Molecular Biology"
113;21101134733;"iMeta";journal;"2770596X, 27705986";3,269;Q1;16;78;52;5281;936;41;18,00;67,71;38,97;0;27;United States;Northern America;"John Wiley and Sons Inc.";"2022-2023";"Biotechnology (Q1); Microbiology (Q1)";"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology"
114;20278;"Microbiology and Molecular Biology Reviews";journal;"10985557, 10922172";3,264;Q1;277;26;85;5260;859;83;7,81;202,31;34,96;0;6;United States;Northern America;"American Society for Microbiology";"1997-2023";"Immunology and Microbiology (miscellaneous)  (Q1); Infectious Diseases (Q1); Microbiology (Q1); Molecular Biology (Q1)";"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Medicine"
115;20205;"Trends in Molecular Medicine";journal;"1471499X, 14714914";3,219;Q1;204;107;343;8432;3252;314;8,24;78,80;37,66;0;49;United Kingdom;Western Europe;"Elsevier Ltd";"2000-2023";"Molecular Biology (Q1); Molecular Medicine (Q1)";"Biochemistry, Genetics and Molecular Biology"
116;21100369815;"eBioMedicine";journal;"23523964";3,193;Q1;116;497;1757;24330;13060;1297;7,31;48,95;46,43;11;313;Netherlands;Western Europe;"Elsevier B.V.";"2014-2023";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Medicine (miscellaneous) (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
117;22088;"EMBO Reports";journal;"14693178, 1469221X";3,193;Q1;210;352;961;21068;5269;757;5,04;59,85;43,98;0;86;United Kingdom;Western Europe;"Springer Nature";"2000-2023";"Biochemistry (Q1); Genetics (Q1); Molecular Biology (Q1)";"Biochemistry, Genetics and Molecular Biology"
118;21101145619;"Ultrafast Science";journal;"20970331, 27658791";3,143;Q1;16;31;31;2240;419;30;13,52;72,26;20,95;0;2;United States;Northern America;"American Association for the Advancement of Science";"2021-2023";"Atomic and Molecular Physics, and Optics (Q1); Biophysics (Q1); Physical and Theoretical Chemistry (Q1); Physics and Astronomy (miscellaneous) (Q1)";"Biochemistry, Genetics and Molecular Biology; Chemistry; Physics and Astronomy"
119;19700176402;"Cold Spring Harbor perspectives in biology";journal;"19430264";3,140;Q1;233;48;219;6323;1601;215;6,43;131,73;40,00;0;10;United States;Northern America;"Cold Spring Harbor Laboratory Press";"2009-2023";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1)";"Biochemistry, Genetics and Molecular Biology"
120;21100224437;"Clinical and Molecular Hepatology";journal;"22872728, 2287285X";3,128;Q1;56;146;223;7287;1774;158;9,00;49,91;37,67;0;99;South Korea;Asiatic Region;"Korean Association for the Study of the Liver";"2012-2023";"Hepatology (Q1); Medicine (miscellaneous) (Q1); Molecular Biology (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
121;21101027216;"Plant Communications";journal;"25903462";3,123;Q1;36;148;199;11612;2010;194;9,78;78,46;39,00;0;31;United States;Northern America;"Cell Press";"2020-2023";"Biochemistry (Q1); Biotechnology (Q1); Cell Biology (Q1); Molecular Biology (Q1); Plant Science (Q1)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
122;21100198522;"Wiley interdisciplinary reviews. RNA";journal;"17577012, 17577004";3,106;Q1;91;64;147;9951;1250;147;8,32;155,48;37,70;0;22;United States;Northern America;"John Wiley & Sons Inc.";"2010-2023";"Biochemistry (Q1); Molecular Biology (Q1)";"Biochemistry, Genetics and Molecular Biology"
123;14305;"Systematic Biology";journal;"1076836X, 10635157";3,098;Q1;201;84;267;6800;1754;267;6,31;80,95;31,22;0;12;United Kingdom;Western Europe;"Oxford University Press";"1952, 1968-1975, 1977-1978, 1980-1982, 1984, 1986, 1988-1989, 1991-2023";"Ecology, Evolution, Behavior and Systematics (Q1); Genetics (Q1)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
124;21101136879;"Annual review of biomedical data science";journal;"25743414";3,034;Q1;22;22;56;2883;411;56;7,73;131,05;44,55;0;7;United States;Northern America;"Annual Reviews Inc.";"2018-2023";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Biomedical Engineering (Q1); Cancer Research (Q1); Genetics (Q1)";"Biochemistry, Genetics and Molecular Biology; Engineering"
125;21100224448;"Molecular Metabolism";journal;"22128778";3,034;Q1;100;157;638;11511;5163;627;7,88;73,32;45,54;0;106;Germany;Western Europe;"Elsevier GmbH";"2012-2023";"Cell Biology (Q1); Molecular Biology (Q1)";"Biochemistry, Genetics and Molecular Biology"
126;130165;"Journal of Integrative Plant Biology";journal;"16729072, 17447909";3,028;Q1;109;190;448;14579;4739;423;10,39;76,73;39,64;0;30;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"2005-2023";"Biochemistry (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Plant Science (Q1)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
127;21100853949;"Biomarker Research";journal;"20507771";3,024;Q1;48;101;252;9121;2382;228;8,45;90,31;41,22;0;83;United Kingdom;Western Europe;"BioMed Central Ltd";"2013-2023";"Biochemistry (medical) (Q1); Clinical Biochemistry (Q1); Molecular Medicine (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
128;28200;"Biomaterials";journal;"01429612, 18785905";3,016;Q1;435;389;1797;26953;24853;1797;13,06;69,29;40,56;0;169;United Kingdom;Western Europe;"Elsevier B.V.";"1980-2023";"Bioengineering (Q1); Biomaterials (Q1); Biophysics (Q1); Ceramics and Composites (Q1); Mechanics of Materials (Q1); Nanoscience and Nanotechnology (Q1)";"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Engineering; Materials Science"
129;21100242403;"Redox Biology";journal;"22132317";3,008;Q1;137;396;1165;29415;13483;1150;10,45;74,28;42,71;0;157;Netherlands;Western Europe;"Elsevier B.V.";"2013-2023";"Biochemistry (Q1); Clinical Biochemistry (Q1); Organic Chemistry (Q1)";"Biochemistry, Genetics and Molecular Biology; Chemistry"
130;19908;"New Phytologist";journal;"14698137, 0028646X";3,007;Q1;305;797;2292;55838;20744;1991;8,56;70,06;39,78;4;140;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1902-2023";"Physiology (Q1); Plant Science (Q1)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
131;28770;"British Journal of Cancer";journal;"15321827, 00070920";3,000;Q1;272;448;1331;22747;10155;1182;7,28;50,77;43,44;6;393;United Kingdom;Western Europe;"Nature Publishing Group";"1947-2023";"Cancer Research (Q1); Oncology (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
132;22475;"Trends in Food Science and Technology";journal;"09242244";2,999;Q1;251;281;1276;30166;24366;1193;17,47;107,35;42,32;2;149;United Kingdom;Western Europe;"Elsevier Ltd";"1990-2023";"Biotechnology (Q1); Food Science (Q1)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
133;16592;"Plant Biotechnology Journal";journal;"14677644, 14677652";2,998;Q1;152;272;698;15671;7590;693;9,98;57,61;38,33;2;65;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"2003-2023";"Agronomy and Crop Science (Q1); Biotechnology (Q1); Plant Science (Q1)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
